"Symbol";"Value";"Unit";
"CG";"Sheet metal";"";
"NO_OF_ROWS";"1";"";
"LUBRI";"None";"";
"SUPPLIER";"SKF";"";
"SLNG_TYPE";"Non-contact";"";
"BORE_D";"8";"";
"DYN_LOAD_C";"3.45";"";
"MAT_BEAR";"Bearing steel";"";
"RD_INT_CLR";"CN";"";
"TraceParts.PartTitle";"Deep groove ball bearing";"";
"COAT";"Without";"";
"TRACEPARTS";"TRACEPARTS";"";
"OUTSIDE_D";"22";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"Deep groove ball bearing";"";
"TraceParts.InstanceId";"34-21082024-0966254OL87EH6T23C3F6LQGPMR2MN2";"";
"TraceParts.PartNumber";"34-21082024-096625";"";
"WIDTH_B";"7";"";
"SLNG";"Shield on one side";"";
"FL_SLTS";"Without";"";
"REFERENCE";"608-Z";"";
"TraceParts.PartVersion";"1.1.0";"";
"SKF_CLASS";"SKF Explorer";"";
"LIM_SPEED";"48000";"";
"DESCR";"Deep groove ball bearing with seals or shields";"";
"LCFT";"None";"";
